# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in All F02 field AND MagI between 17.5 and 24.75 AND Spectroscopic Redshift between 0.5 and 0.9 AND  Spectroscopic Redshift quality flag  in (2,3,4,9,22,23,24,29)
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	MAG_U_CFHTLS 	MAGERR_AUTO_U 	MAG_G_CFHTLS 	MAGERR_AUTO_G 	MAG_R_CFHTLS 	MAGERR_AUTO_R 	MAG_I_CFHTLS 	MAGERR_AUTO_I 	MAG_Z_CFHTLS 	MAGERR_AUTO_Z 	MAG_AUTO_J_WIRDS 	MAGERR_AUTO_J_WIRDS 	MAG_AUTO_H_WIRDS 	MAGERR_AUTO_H_WIRDS 	MAG_AUTO_K_WIRDS 	MAGERR_AUTO_K_WIRDS 	AGE 	E(B-V) 	STELLAR_MASS 	SFR 	 	ZMETHOD 	EW_OII_3727 	D_EW_OII_3727 	EW_OIII_5007 	D_EW_OIII_5007 	EW_HALPHA 	D_EW_HALPHA 	EW_HBETA 	D_EW_HBETA 	 
020088203	VVDS-J022524.11-044859.8	36.3504747	-4.8166313	0.7341	3	23.5436	-99.9	-99.9	24.9076	0.0988	24.5536	0.1044	24.2149	0.0976	23.5436	0.0935	24.878819	0.030600	24.563290	0.016000	24.076218	0.013600	23.359380	0.010000	23.140856	0.019800	22.767510	0.052200	22.531589	0.049800	22.756665	0.063100	508801000	0.200	9.17716	0.227863	4	K	-33.05	1.91	-13.18	11.43	0.00	-9.99	-10.78	10.32
020088206	VVDS-J022617.54-044901.9	36.5730967	-4.8172215	0.7096	2	22.6824	-99.9	-99.9	23.9533	0.0845	23.5891	0.0706	23.1442	0.0588	22.6824	0.0506	23.969158	0.018400	23.655866	0.010000	23.180409	0.010000	22.689855	0.010000	22.707648	0.017700	23.005363	0.126600	22.411374	0.076900	22.041861	0.064700	286119000	0.100	9.20694	0.148976	4	K	-12.11	3.78	-9.82	-2.00	0.00	-9.99	-0.18	9.33
020088427	VVDS-J022733.41-044858.3	36.8892355	-4.8162096	0.7195	9	23.3398	-99.9	-99.9	24.2924	0.0974	23.5693	0.0618	23.1823	0.0542	23.3398	0.0829	24.399001	0.027100	23.738237	0.010600	23.190590	0.010000	22.995475	0.010000	22.866665	0.020500	23.318858	0.191900	22.728317	0.115600	22.836312	0.153000	9999980	0.400	8.67139	1.67163	4	K	-45.53	2.29	-23.40	-2.00	0.00	-9.99	-11.34	13.34
020088495	VVDS-J022537.82-044853.4	36.4076117	-4.8148544	0.7975	2	23.9483	-99.9	-99.9	26.3221	0.3449	99.99	99.99	25.7312	0.3911	23.9483	0.1338	26.467882	0.100900	25.958961	0.044000	25.271839	0.031200	24.348259	0.018500	24.058667	0.035100	24.317145	0.266000	23.065831	0.084300	23.882069	0.173600	1278050000	0.000	8.92708	-1.17278	1	V	-11.94	6.06	-5.40	-2.00	0.00	-9.99	-6.94	11.04
020088592	VVDS-J022618.89-044856.5	36.5787373	-4.8156966	0.6956	4	22.6435	-99.9	-99.9	23.9358	0.0794	23.5615	0.0633	23.0701	0.0508	22.6435	0.0432	23.959993	0.014400	23.639547	0.010000	23.154343	0.010000	22.668155	0.010000	22.510924	0.011600	22.799806	0.080300	22.633602	0.074400	22.251779	0.056400	286119000	0.100	9.15229	0.0955101	4	K	-54.24	2.71	-52.48	6.94	0.00	-9.99	-14.19	5.41
020088606	VVDS-J022746.44-044900.4	36.943524	-4.8167911	0.6421	2	21.6569	-99.9	-99.9	25.2036	0.2026	23.5575	0.0641	22.6773	0.0402	21.6569	0.0234	25.125167	0.062600	23.969619	0.015600	22.780957	0.010000	21.779335	0.010000	21.398660	0.010000	-99.900000	-99.900000	20.293715	0.092800	20.665634	0.167900	6000000000	0.000	10.3883	-0.934958	1	K	-7.16	2.25	-3.43	3.14	0.00	-9.99	-5.61	3.54
020088710	VVDS-J022708.11-044855.0	36.7838163	-4.8152827	0.8650	3	23.0593	-99.9	-99.9	26.582	0.5388	24.7337	0.1381	24.1428	0.1047	23.0593	0.0607	25.897846	0.100600	25.200996	0.037900	24.166460	0.019400	23.100297	0.010100	22.525750	0.014800	21.947050	0.041300	21.465700	0.030400	20.888713	0.020700	321031000	0.500	10.1607	0.948373	2	K	-13.68	6.89	0.00	-9.99	0.00	-9.99	0.00	-9.99
020088827	VVDS-J022737.56-044853.7	36.9065155	-4.8149363	0.6137	4	23.4064	-99.9	-99.9	25.1166	0.1607	24.3436	0.0989	23.836	0.081	23.4064	0.078	25.267101	0.049500	24.513007	0.017700	23.718179	0.011300	23.243999	0.010000	23.059347	0.020500	22.919062	0.128400	22.726023	0.122800	22.251887	0.090900	321031000	0.200	9.07321	-0.139083	-99.9	E	-17.52	1.86	-5.21	3.68	0.00	-9.99	-7.12	5.27
020089020	VVDS-J022636.57-044851.7	36.6523957	-4.8143863	0.5190	4	23.7011	-99.9	-99.9	24.6425	0.1135	24.2915	0.0987	24.0639	0.0958	23.7011	0.096	24.681304	0.024700	24.401839	0.012700	23.814834	0.010000	23.551115	0.010800	23.597092	0.028500	23.970302	0.185800	23.716453	0.163800	23.746225	0.195700	227272000	0.100	8.38540	-0.405023	4	K	-59.79	9.35	-45.41	12.23	0.00	-9.99	-27.86	6.66
020089035	VVDS-J022732.14-044851.5	36.8839358	-4.8143299	0.7230	4	23.0854	-99.9	-99.9	25.0434	0.1663	24.6645	0.1417	24.0999	0.1107	23.0854	0.0666	25.678624	0.084600	24.697563	0.025300	24.106631	0.019700	23.285454	0.012600	23.090302	0.025300	22.412336	0.077000	22.470369	0.079200	22.134045	0.069300	286119000	0.300	9.32035	0.263565	-99.9	E	-42.87	6.98	-36.16	11.87	0.00	-9.99	-0.73	8.48
020089071	VVDS-J022555.06-044852.5	36.4794417	-4.8145844	0.6779	3	22.542	-99.9	-99.9	26.3457	0.4057	24.3894	0.0901	23.4784	0.055	22.542	0.033	26.262170	0.120400	24.944221	0.024200	23.744001	0.010600	22.751076	0.010000	22.338187	0.010000	21.649128	0.051500	20.891751	0.016500	20.409146	0.010000	1800000000	0.500	10.2970	0.813974	1	V	-24.97	2.91	-8.96	4.50	0.00	-9.99	-6.05	3.58
020089113	VVDS-J022620.66-044852.0	36.5861145	-4.8144636	0.7920	2	22.7039	-99.9	-99.9	24.8298	0.1504	24.2293	0.1101	23.759	0.0905	22.7039	0.0497	24.864376	0.034700	24.457564	0.015800	23.815403	0.011700	23.032974	0.010000	22.488615	0.012000	21.871458	0.034300	21.384737	0.024400	21.179001	0.022200	3000000000	0.300	10.1657	0.776989	3	V	-4.46	2.84	-2.12	9.91	0.00	-9.99	-5.48	8.51
020089115	VVDS-J022519.10-044851.6	36.329604	-4.8143404	0.6929	2	23.6941	-99.9	-99.9	27.5727	0.8596	26.52	0.5474	24.6539	0.1376	23.6941	0.1059	27.640378	0.468800	26.575151	0.128500	24.960427	0.038300	23.578045	0.014800	23.169093	0.026800	22.135888	0.029600	21.461178	0.018800	20.857230	0.011100	2600000000	0.500	10.2945	0.433135	1	K	-2.65	5.70	-6.26	6.65	0.00	-9.99	-5.46	-2.00
